batsman,runs,balls,outs,fours,sixes,strike_rate,average,innings,dob,batting_hand,bowling_skill,country
TL Suman,676,573,32.0,55,26,117.97556719022688,21.125,39,1983-12-15,Right_Hand,Right-arm offbreak,India
TM Dilshan,1153,1001,43.0,140,24,115.18481518481518,26.813953488372093,50,1976-10-14,Right_Hand,Right-arm offbreak,Sri Lanka
TM Head,205,147,7.0,12,8,139.45578231292518,29.285714285714285,10,1993-12-29,Left_Hand,Right-arm offbreak,Australia
TM Srivastava,8,11,1.0,0,0,72.72727272727273,8.0,3,1989-11-07,Left_Hand,Right-arm medium,India
TR Birt,75,57,5.0,9,2,131.57894736842107,15.0,5,1981-12-09,Left_Hand,Right-arm medium,Australia
TS Mills,8,11,3.0,0,1,72.72727272727273,2.6666666666666665,3,,Right_hand,Left-arm fast,
U Kaul,0,1,0.0,0,0,0.0,,1,1987-12-02,Left_Hand,,India
UA Birla,7,14,1.0,1,0,50.0,7.0,1,1989-11-17,Right_Hand,Right-arm medium,India
UBT Chand,300,299,20.0,32,9,100.33444816053512,15.0,20,1993-03-26,Right_Hand,Right-arm offbreak,India
UT Khawaja,127,99,6.0,14,3,128.2828282828283,21.166666666666668,6,1986-12-18,Left_Hand,Right-arm medium,Australia
UT Yadav,127,126,13.0,11,4,100.79365079365078,9.76923076923077,33,1987-10-25,Right_Hand,Right-arm fast-medium,India
Umar Gul,39,19,3.0,1,5,205.26315789473685,13.0,4,1984-04-14,Right_Hand,Right-arm fast-medium,Pakistan
V Kohli,5434,4100,143.0,482,191,132.53658536585365,38.0,169,1988-11-05,Right_Hand,Right-arm medium,India
V Pratap Singh,0,1,1.0,0,0,0.0,0.0,1,1992-05-03,Right_Hand,Right-arm medium,India
V Sehwag,2728,1740,99.0,334,106,156.7816091954023,27.555555555555557,104,1978-10-20,Right_Hand,Right-arm offbreak,India
V Shankar,574,415,18.0,34,24,138.3132530120482,31.88888888888889,27,1991-01-26,Right_Hand,Right-arm medium,India
VH Zol,29,26,2.0,3,1,111.53846153846155,14.5,2,1994-11-23,Left_Hand,Right-arm offbreak,India
VR Aaron,49,61,4.0,2,2,80.32786885245902,12.25,10,1989-10-29,Right_Hand,Right-arm fast,India
VRV Singh,4,3,2.0,1,0,133.33333333333331,2.0,2,1984-09-17,Right_Hand,Right-arm medium-fast,India
VS Malik,7,7,1.0,1,0,100.0,7.0,2,1983-05-09,Right_Hand,Right-arm medium,India
VS Yeligati,2,2,1.0,0,0,100.0,2.0,1,1985-04-23,Right_Hand,Right-arm offbreak,India
VVS Laxman,282,266,19.0,33,5,106.01503759398496,14.842105263157896,20,1974-11-01,Right_Hand,Right-arm offbreak,India
VY Mahesh,15,27,2.0,0,0,55.55555555555556,7.5,5,1987-12-21,Right_Hand,Right-arm medium-fast,India
Vishnu Vinod,19,26,3.0,1,1,73.07692307692307,6.333333333333333,3,,Right_hand,,
W Jaffer,130,121,8.0,14,3,107.43801652892562,16.25,8,1978-02-16,Right_Hand,Right-arm offbreak,India
WA Mota,56,75,6.0,2,0,74.66666666666667,9.333333333333334,8,1981-09-20,Right_Hand,Right-arm medium,India
WD Parnell,63,75,9.0,4,1,84.0,7.0,12,1989-07-30,Left_Hand,Left-arm medium-fast,South Africa
WP Saha,1780,1345,74.0,161,59,132.34200743494424,24.054054054054053,93,1984-10-24,Right_Hand,,India
WPUJC Vaas,81,72,8.0,2,3,112.5,10.125,11,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka
Washington Sundar,79,53,6.0,5,4,149.0566037735849,13.166666666666666,12,,Left_Hand,Right-arm offbreak,
X Thalaivan Sargunam,10,17,1.0,0,0,58.82352941176471,10.0,1,1985-05-15,Right_Hand,Right-arm offbreak,India
Y Gnaneswara Rao,19,17,1.0,3,0,111.76470588235294,19.0,1,1984-08-25,Right_Hand,Right-arm medium,India
Y Nagar,285,259,14.0,20,9,110.03861003861005,20.357142857142858,20,1990-01-06,Right_Hand,Right-arm offbreak,India
Y Venugopal Rao,985,832,44.0,77,37,118.38942307692308,22.386363636363637,52,1982-02-26,Right_Hand,Right-arm offbreak,India
YA Abdulla,0,1,0.0,0,0,0.0,,1,1983-01-17,Left_Hand,Left-arm fast-medium,India
YK Pathan,3241,2233,110.0,264,161,145.141065830721,29.463636363636365,153,1982-11-17,Right_Hand,Right-arm offbreak,India
YS Chahal,22,48,5.0,0,0,45.83333333333333,4.4,12,1990-07-23,Right_Hand,Legbreak googly,India
YV Takawale,192,177,8.0,26,3,108.47457627118644,24.0,10,1984-11-05,Right_Hand,,India
Yashpal Singh,47,65,4.0,5,0,72.3076923076923,11.75,4,1981-11-27,Right_Hand,Right-arm medium,India
Younis Khan,3,7,1.0,0,0,42.857142857142854,3.0,1,1977-11-29,Right_Hand,Right-arm medium,Pakistan
Yuvraj Singh,2765,2115,111.0,218,149,130.73286052009456,24.90990990990991,126,1981-12-12,Left_Hand,Slow left-arm orthodox,India
Z Khan,117,140,14.0,11,2,83.57142857142857,8.357142857142858,27,1978-10-07,Right_Hand,Left-arm fast-medium,India
